id,rdf:type ,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,karstlink:documentType,rdfs:label,dct:subject,dc:langage,gn:countryCode,dct:date,dct:format,dct:identifier,dct:source,dct:creator,dct:publisher,dct:isPartOf,dct:references,karstlink:relatedToUndergoundCavity,karstlink:hasAccessDocument/dct:creator,karstlink:hasAccessDocument/dc:language,karstlink:hasAccessDocument/dct:title,karstlink:hasAccessDocument/dct:description,
110430,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Acclivis : boletin informativo,,,ES,,,,,,Societat Acclivis,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.ΩNo 3 (1985) ->,
111034,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,ACO Spéléo,,,CH,,,,,,collège des Cerisiers,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.Ω1990-1991 ->,
110748,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Acta carsologica = Krasoslovni Zbornik : Razred za naravoslovne vede = Classis IV : Historia naturalis,,,,,,,,,Slovenska Akademija znanosti in Umetnosti – Institut za Raziskovanje krasa,,,,SSS Société Suisse de Spéléologie,FR,,"Annuel, puis semestriel.ΩVI (1974) ->ΩN° VI à IX, sous-titre : Razred za prirodoslovne vede",
111310,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Acta geographica / red. I. Penzes,,,GR,,,,,,Facultas Scientiarum Naturalium Universitatis,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.ΩCollection Alfred Bögli,
110986,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Acta geologica sinica,,,,,,,,,Institute of scientific and technical information of China,,,,SSS Société Suisse de Spéléologie,FR,,"Trimestriel.ΩVol. 51, no 1 (1977) ->",
111458,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Acta speleologica,,,,,,,,,Sprava Jeskyni Ceske Republiky,,,,SSS Société Suisse de Spéléologie,FR,,Vol. 1/2010 -ΩAnnuel.,
110417,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Actas espeleologicas,,,ES,,,,,,Instituto de estudios espeleologicos,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩTomo I (1979) -> Tomo II (1986).,
110545,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Actas espeleologicas : monografia,,,ES,,,,,,Instituto de estudios espeleologicos,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩI (1980) ->,
110002,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Actes administratifs de la Société helvétique des sciences naturelles = Verhandlungen der Schweizerischen Naturforschenden Gesellschaft. Administrativer Teil = Atti amministrativi della Sociètà elvetica di scienze naturali,,,,,,,,,Société helvétique des sciences naturelles,,,,SSS Société Suisse de Spéléologie,FR,,1971-1977.ΩFait suite à : Actes de la Société helvétique des sciences naturelles = Verhandlungen der Schweizerischen Naturforschenden Gesellschaft = Atti della Sociètà elvetica di scienze naturali.ΩDevient : Jahrbuch : Administrativer Teil = Annuaire : partie administrative.,
110001,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Actes de la Société helvétique des sciences naturelles : partie administrative = Verhandlungen der Schweizerischen Naturforschenden Gesellschaft : Administrativer Teil = Atti della Società elvetica di scienze naturali,,,RU,,,,,,Société helvétique des sciences naturelles,,,,SSS Société Suisse de Spéléologie,FR,,1970.ΩDevient : Actes administratifs de la Société helvétique des sciences naturelles = Verhandlungen der Schweizerischen Naturforschenden Gesellschaft. Administrativer Teil = Atti amministrativi della Società elvetica di scienze naturali.,
110003,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Actes de la Société helvétique des sciences naturelles : partie scientifique = Verhandlungen der Schweizerischen Naturforschenden Gesellschaft : Wissenschaftlicher Teil = Atti della Società elvetica di scienze naturali,,,CH,,,,,,Société helvétique des sciences naturelles,,,,SSS Société Suisse de Spéléologie,FR,,"Annuel.Ω1969-1977.ΩDevient : Jahrbuch der Schweizerischen Naturforschenden Gesellschaft, wissenschaftlicher Teil = Annuaire de la Société Helvétique des Sciences Naturelles, partie scientifique",
110007,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Actes et communications du comité départemental de spéléologie du Jura : série Meyer,,,FR,,,,,,Comité départemental de spéléologie du Jura,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.Ω1 (1967) - 5 (1973).ΩLe no 5 (1973) contient une table des matières des 5 premiers numéros.ΩDevient Bulletin du Comité départemental de spéléologie du Jura.,
111256,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Actions environnementales / Fédération Française de Spéléologie – Commission Environnement,,,FR,,,,,,FFS,,,,SSS Société Suisse de Spéléologie,FR,,"Devient: La Synthèse, F 259.1.ΩLe N° 1 manque. Le N° 2 porte le titre: Interventions de la communauté spéléologique française dans le domaine environnemental: actions réalisées en 2002. Le N° 3 porte le titre: Implications de la communauté spéléologique française dans le domaine environnemental: synthèse 2003.",
110005,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Activités [des] Spéléologues du Triangle Rouge : S.T.R.,,,RU,,,,,,Spéléologues du Triangle Rouge,,,,SSS Société Suisse de Spéléologie,FR,,(1969). Numéro unique.,
110004,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Activités du S.C.C [Spéléo Club de Cheseaux],,,CH,,,,,,Spéléo Club de Cheseaux,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.ΩNo 1 (1985) - N° 10 (1995-1996).,
111385,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Activités spéléologiques du CAF d'Albertville,,,FR,,,,,,Club Alpin Français Albertville,,,,SSS Société Suisse de Spéléologie,FR,,Année 2003 ->,
110006,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Ad augusta per angusta : bulletin spéléologique / du Spéléo-Club de Touraine,,,FR,,,,,,Spéléo-Club de Touraine,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.Ω1(1972) -> no 18 (1991).,
111031,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,"AGH Expedition Afrika-Indien, 1. Nov. 1975 - 31. März 1976 / AGH",,,RU,,,,,,AGH,,,,SSS Société Suisse de Spéléologie,FR,,Heft Nr. 1 - Heft Nr. 15. Le n° 1 porte le titre Afrika-Indien. Les autres nos Indien-AfrikaΩNon spéléo.,
111426,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,"AGH-Expedition Sahara, Winter 1985/6 / AGH",,,CH,,,,,,AGH,,,,SSS Société Suisse de Spéléologie,FR,,Tagebuchnotizen 1 - 3.ΩNon spéléo.,
111395,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,"AGH-Expedition Sahelzone, Winter 1980/1 / AGH",,,CH,,,,,,AGH,,,,SSS Société Suisse de Spéléologie,FR,,Tagebuchnotizen 1 - 5.ΩNon spéléo.,
111427,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,AGH-Expedition Transsahara Winter 1989/90 / AGH,,,CH,,,,,,AGH,,,,SSS Société Suisse de Spéléologie,FR,,Tagebuchnotizen 1 - 4.ΩNon spéléo.,
111124,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Aglarond : newsletter of the Vedauwoo student grotto,,,US,,,,,,University Station,,,,SSS Société Suisse de Spéléologie,FR,,"9 fois par an.ΩVol. 5, No 5 (1976) - Vol. 10, No 4 (1981).Ω",
110312,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,AGS Info,,,CH,,,,,,Arbeitsgemeinschaft für Speläologie [AGS],,,,SSS Société Suisse de Spéléologie,FR,,"Biennal. Puis bimestriel, puis annuel.Ω(1974/1976) ->",
111092,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Aïtsa : bulletin / CSARI,,,BE,,,,,,CSARI,,,,SSS Société Suisse de Spéléologie,FR,,AnnuelΩ1991-1993.ΩFait suite à : Bulletin du Cercle spéléologique de l'Athénée Royal d'Ixelles (B 028).,
110256,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,Al Ouat'ouate : bulletin / du Spéléo-Club du Liban,,,LB,,,,,,Spéléo-Club du Liban,,,,SSS Société Suisse de Spéléologie,FR,,"Mensuel.ΩNo 1 (nov. 1955) - no 16 (mars-avril 1958).ΩNo spécial 1 (1957), 2 (1958).ΩNouvelle série, no 1-3 (1962).Ω4 nos «informations» (1964).ΩDevient : Al Ouat'ouate : revue libanaise de spéléologie et de karstologie.",
